year,profession,sex,count
28,farmer,F,35
28,farmer,M,30
28,farmer,X,2
28,fisher,F,30
28,fisher,M,23
28,fisher,X,2
28,homemaker,F,26
28,homemaker,M,24
28,homemaker,X,4
28,retired,F,19
28,retired,M,21
28,retired,X,5
28,service provider,F,14
28,service provider,M,23
28,service provider,X,1
28,unemployed,F,11
28,unemployed,M,14
29,child,F,54
29,child,M,79
29,child,X,5
29,civil servant,F,16
29,civil servant,M,18
29,civil servant,X,1
29,craftsman,F,23
29,craftsman,M,24
29,craftsman,X,4
29,farmer,F,35
29,farmer,M,30
29,farmer,X,2
29,fisher,F,31
29,fisher,M,23
29,fisher,X,2
29,homemaker,F,25
29,homemaker,M,25
29,homemaker,X,4
29,retired,F,14
29,retired,M,17
29,retired,X,4
29,service provider,F,15
29,service provider,M,23
29,service provider,X,1
29,unemployed,F,12
29,unemployed,M,14
30,child,F,57
30,child,M,82
30,child,X,5
30,civil servant,F,16
30,civil servant,M,18
30,civil servant,X,1
30,craftsman,F,22
30,craftsman,M,24
30,craftsman,X,4
30,farmer,F,36
30,farmer,M,30
30,farmer,X,2
30,fisher,F,31
30,fisher,M,23
30,fisher,X,2
30,homemaker,F,25
30,homemaker,M,26
30,homemaker,X,4
30,retired,F,11
30,retired,M,10
30,retired,X,2
30,service provider,F,15
30,service provider,M,23
30,service provider,X,1
30,unemployed,F,12
30,unemployed,M,15
31,child,F,60
31,child,M,83
31,child,X,4
31,civil servant,F,16
31,civil servant,M,17
31,civil servant,X,1
31,craftsman,F,20
31,craftsman,M,25
31,craftsman,X,4
31,farmer,F,36
31,farmer,M,29
31,farmer,X,2
31,fisher,F,31
31,fisher,M,23
31,fisher,X,3
31,homemaker,F,25
31,homemaker,M,26
31,homemaker,X,4
31,retired,F,10
31,retired,M,12
31,retired,X,2
31,service provider,F,15
31,service provider,M,24
31,service provider,X,1
31,unemployed,F,12
31,unemployed,M,15
32,child,F,62
32,child,M,83
32,child,X,4
32,civil servant,F,15
32,civil servant,M,17
32,civil servant,X,1
32,craftsman,F,20
32,craftsman,M,26
32,craftsman,X,4
32,farmer,F,36
32,farmer,M,30
32,farmer,X,2
32,fisher,F,32
32,fisher,M,22
32,fisher,X,3
32,homemaker,F,25
32,homemaker,M,27
32,homemaker,X,4
32,retired,F,12
32,retired,M,11
32,retired,X,2
32,service provider,F,16
32,service provider,M,24
32,service provider,X,1
32,unemployed,F,8
32,unemployed,M,15
33,child,F,64
33,child,M,84
33,child,X,3
33,civil servant,F,13
33,civil servant,M,18
33,civil servant,X,1
33,craftsman,F,20
33,craftsman,M,27
33,craftsman,X,4
33,farmer,F,36
33,farmer,M,30
33,farmer,X,2
33,fisher,F,33
33,fisher,M,21
33,fisher,X,3
33,homemaker,F,26
33,homemaker,M,27
33,homemaker,X,5
33,retired,F,8
33,retired,M,10
33,retired,X,2
33,service provider,F,16
33,service provider,M,23
33,service provider,X,1
33,unemployed,F,8
33,unemployed,M,13
34,child,F,64
34,child,M,83
34,child,X,4
34,civil servant,F,13
34,civil servant,M,18
34,civil servant,X,1
34,craftsman,F,22
34,craftsman,M,27
34,craftsman,X,4
34,farmer,F,34
34,farmer,M,28
34,farmer,X,2
34,fisher,F,34
34,fisher,M,21
34,fisher,X,3
34,homemaker,F,26
34,homemaker,M,28
34,homemaker,X,6
34,retired,F,10
34,retired,M,11
34,retired,X,1
34,service provider,F,16
34,service provider,M,24
34,service provider,X,1
34,unemployed,F,9
34,unemployed,M,11
35,child,F,66
35,child,M,81
35,child,X,4
35,civil servant,F,15
35,civil servant,M,17
35,civil servant,X,1
35,craftsman,F,22
35,craftsman,M,27
35,craftsman,X,4
35,farmer,F,33
35,farmer,M,29
35,farmer,X,2
35,fisher,F,35
35,fisher,M,21
35,fisher,X,3
35,homemaker,F,25
35,homemaker,M,28
35,homemaker,X,6
35,retired,F,9
35,retired,M,12
35,retired,X,1
35,service provider,F,16
35,service provider,M,25
35,service provider,X,1
35,unemployed,F,8
35,unemployed,M,10
36,child,F,66
36,child,M,81
36,child,X,4
36,civil servant,F,15
36,civil servant,M,17
36,civil servant,X,1
36,craftsman,F,22
36,craftsman,M,29
36,craftsman,X,4
36,farmer,F,34
36,farmer,M,27
36,farmer,X,2
36,fisher,F,35
36,fisher,M,20
36,fisher,X,3
36,homemaker,F,25
36,homemaker,M,28
36,homemaker,X,6
36,retired,F,10
36,retired,M,12
36,retired,X,1
36,service provider,F,16
36,service provider,M,25
36,service provider,X,1
36,unemployed,F,6
36,unemployed,M,10
37,child,F,66
37,child,M,81
37,child,X,4
37,civil servant,F,14
37,civil servant,M,17
37,civil servant,X,1
37,craftsman,F,23
37,craftsman,M,28
37,craftsman,X,4
37,farmer,F,35
37,farmer,M,27
37,farmer,X,2
37,fisher,F,35
37,fisher,M,21
37,fisher,X,3
37,homemaker,F,25
37,homemaker,M,29
37,homemaker,X,6
37,retired,F,9
37,retired,M,11
37,retired,X,1
37,service provider,F,17
37,service provider,M,26
37,service provider,X,1
37,unemployed,F,6
37,unemployed,M,10
38,child,F,70
38,child,M,77
38,child,X,5
38,civil servant,F,14
38,civil servant,M,17
38,civil servant,X,1
38,craftsman,F,24
38,craftsman,M,27
38,craftsman,X,4
38,farmer,F,33
38,farmer,M,26
38,farmer,X,2
38,fisher,F,34
38,fisher,M,21
38,fisher,X,3
38,homemaker,F,24
38,homemaker,M,32
38,homemaker,X,6
38,retired,F,12
38,retired,M,9
38,service provider,F,16
38,service provider,M,27
38,service provider,X,1
38,unemployed,F,6
38,unemployed,M,10
39,child,F,74
39,child,M,74
39,child,X,5
39,civil servant,F,13
39,civil servant,M,14
39,craftsman,F,22
39,craftsman,M,23
39,craftsman,X,3
39,farmer,F,28
39,farmer,M,23
39,farmer,X,2
39,fisher,F,30
39,fisher,M,16
39,fisher,X,3
39,homemaker,F,23
39,homemaker,M,31
39,homemaker,X,5
39,retired,F,25
39,retired,M,30
39,retired,X,4
39,service provider,F,14
39,service provider,M,24
39,unemployed,F,5
39,unemployed,M,9
40,child,F,78
40,child,M,71
40,child,X,5
40,civil servant,F,13
40,civil servant,M,13
40,craftsman,F,22
40,craftsman,M,23
40,craftsman,X,3
40,farmer,F,29
40,farmer,M,22
40,farmer,X,2
40,fisher,F,30
40,fisher,M,19
40,fisher,X,2
40,homemaker,F,23
40,homemaker,M,33
40,homemaker,X,5
40,retired,F,19
40,retired,M,31
40,retired,X,5
40,service provider,F,15
40,service provider,M,24
40,unemployed,F,5
40,unemployed,M,9
41,child,F,81
41,child,M,71
41,child,X,5
41,civil servant,F,14
41,civil servant,M,13
41,craftsman,F,22
41,craftsman,M,23
41,craftsman,X,2
41,farmer,F,28
41,farmer,M,19
41,farmer,X,2
41,fisher,F,30
41,fisher,M,20
41,fisher,X,2
41,homemaker,F,23
41,homemaker,M,34
41,homemaker,X,5
41,retired,F,14
41,retired,M,32
41,retired,X,4
41,service provider,F,15
41,service provider,M,24
41,unemployed,F,5
41,unemployed,M,10
42,child,F,85
42,child,M,70
42,child,X,4
42,civil servant,F,14
42,civil servant,M,15
42,craftsman,F,21
42,craftsman,M,23
42,craftsman,X,2
42,farmer,F,29
42,farmer,M,21
42,farmer,X,2
42,fisher,F,31
42,fisher,M,22
42,fisher,X,2
42,homemaker,F,23
42,homemaker,M,32
42,homemaker,X,5
42,retired,F,14
42,retired,M,23
42,retired,X,3
42,service provider,F,15
42,service provider,M,24
42,unemployed,F,5
42,unemployed,M,10
42,unemployed,X,1
43,child,F,83
43,child,M,73
43,child,X,4
43,civil servant,F,15
43,civil servant,M,14
43,craftsman,F,23
43,craftsman,M,23
43,craftsman,X,2
43,farmer,F,28
43,farmer,M,22
43,farmer,X,2
43,fisher,F,28
43,fisher,M,24
43,fisher,X,2
43,homemaker,F,20
43,homemaker,M,31
43,homemaker,X,5
43,retired,F,20
43,retired,M,24
43,retired,X,3
43,service provider,F,15
43,service provider,M,22
43,unemployed,F,6
43,unemployed,M,11
43,unemployed,X,1
44,child,F,84
44,child,M,71
44,child,X,4
44,civil servant,F,16
44,civil servant,M,14
44,craftsman,F,21
44,craftsman,M,26
44,craftsman,X,2
44,farmer,F,28
44,farmer,M,26
44,farmer,X,2
44,fisher,F,27
44,fisher,M,26
44,fisher,X,2
44,homemaker,F,20
44,homemaker,M,26
44,homemaker,X,5
44,retired,F,23
44,retired,M,22
44,retired,X,2
44,service provider,F,16
44,service provider,M,21
44,unemployed,F,6
44,unemployed,M,12
44,unemployed,X,1
45,child,F,85
45,child,M,68
45,child,X,4
45,civil servant,F,16
45,civil servant,M,15
45,craftsman,F,22
45,craftsman,M,24
45,craftsman,X,2
45,farmer,F,28
45,farmer,M,27
45,farmer,X,2
45,fisher,F,27
45,fisher,M,25
45,fisher,X,2
45,homemaker,F,21
45,homemaker,M,27
45,homemaker,X,5
45,retired,F,22
45,retired,M,24
45,retired,X,1
45,service provider,F,16
45,service provider,M,21
45,unemployed,F,6
45,unemployed,M,13
45,unemployed,X,1
46,child,F,84
46,child,M,70
46,child,X,3
46,civil servant,F,15
46,civil servant,M,16
46,craftsman,F,23
46,craftsman,M,25
46,craftsman,X,3
46,farmer,F,27
46,farmer,M,27
46,farmer,X,2
46,fisher,F,27
46,fisher,M,23
