year,profession,count
19,farmer,74
19,fisher,53
19,homemaker,66
19,retired,55
19,service provider,36
19,unemployed,28
20,child,95
20,civil servant,42
20,craftsman,55
20,farmer,69
20,fisher,53
20,homemaker,63
20,retired,62
20,service provider,35
20,unemployed,28
21,child,100
21,civil servant,39
21,craftsman,56
21,farmer,70
21,fisher,54
21,homemaker,56
21,retired,64
21,service provider,36
21,unemployed,28
22,child,106
22,civil servant,37
22,craftsman,55
22,farmer,69
22,fisher,55
22,homemaker,55
22,retired,63
22,service provider,37
22,unemployed,26
23,child,110
23,civil servant,36
23,craftsman,52
23,farmer,65
23,fisher,54
23,homemaker,56
23,retired,69
23,service provider,37
23,unemployed,25
24,child,115
24,civil servant,35
24,craftsman,50
24,farmer,64
24,fisher,54
24,homemaker,55
24,retired,68
24,service provider,37
24,unemployed,25
25,child,119
25,civil servant,34
25,craftsman,49
25,farmer,64
25,fisher,53
25,homemaker,53
25,retired,70
25,service provider,37
25,unemployed,24
26,child,124
26,civil servant,35
26,craftsman,50
26,farmer,64
26,fisher,53
26,homemaker,53
26,retired,60
26,service provider,37
26,unemployed,25
27,child,129
27,civil servant,35
27,craftsman,51
27,farmer,65
27,fisher,54
27,homemaker,53
27,retired,49
27,service provider,38
27,unemployed,25
28,child,133
28,civil servant,35
28,craftsman,51
28,farmer,67
28,fisher,55
28,homemaker,54
28,retired,45
28,service provider,38
28,unemployed,25
29,child,138
29,civil servant,35
29,craftsman,51
29,farmer,67
29,fisher,56
29,homemaker,54
29,retired,35
29,service provider,39
29,unemployed,26
30,child,144
30,civil servant,35
30,craftsman,50
30,farmer,68
30,fisher,56
30,homemaker,55
30,retired,23
30,service provider,39
30,unemployed,27
31,child,147
31,civil servant,34
31,craftsman,49
31,farmer,67
31,fisher,57
31,homemaker,55
31,retired,24
31,service provider,40
31,unemployed,27
32,child,149
32,civil servant,33
32,craftsman,50
32,farmer,68
32,fisher,57
32,homemaker,56
32,retired,25
32,service provider,41
32,unemployed,23
33,child,151
33,civil servant,32
33,craftsman,51
33,farmer,68
33,fisher,57
33,homemaker,58
33,retired,20
33,service provider,40
33,unemployed,21
34,child,151
34,civil servant,32
34,craftsman,53
34,farmer,64
34,fisher,58
34,homemaker,60
34,retired,22
34,service provider,41
34,unemployed,20
35,child,151
35,civil servant,33
35,craftsman,53
35,farmer,64
35,fisher,59
35,homemaker,59
35,retired,22
35,service provider,42
35,unemployed,18
36,child,151
36,civil servant,33
36,craftsman,55
36,farmer,63
36,fisher,58
36,homemaker,59
36,retired,23
36,service provider,42
36,unemployed,16
37,child,151
37,civil servant,32
37,craftsman,55
37,farmer,64
37,fisher,59
37,homemaker,60
37,retired,21
37,service provider,44
37,unemployed,16
38,child,152
38,civil servant,32
38,craftsman,55
38,farmer,61
38,fisher,58
38,homemaker,62
38,retired,21
38,service provider,44
38,unemployed,16
39,child,153
39,civil servant,27
39,craftsman,48
39,farmer,53
39,fisher,49
39,homemaker,59
39,retired,59
39,service provider,38
39,unemployed,14
40,child,154
40,civil servant,26
40,craftsman,48
40,farmer,53
40,fisher,51
40,homemaker,61
40,retired,55
40,service provider,39
40,unemployed,14
41,child,157
41,civil servant,27
41,craftsman,47
41,farmer,49
41,fisher,52
41,homemaker,62
41,retired,50
41,service provider,39
41,unemployed,15
42,child,159
42,civil servant,29
42,craftsman,46
42,farmer,52
42,fisher,55
42,homemaker,60
42,retired,40
42,service provider,39
42,unemployed,16
43,child,160
43,civil servant,29
43,craftsman,48
43,farmer,52
43,fisher,54
43,homemaker,56
43,retired,47
43,service provider,37
43,unemployed,18
44,child,159
44,civil servant,30
44,craftsman,49
44,farmer,56
44,fisher,55
44,homemaker,51
44,retired,47
44,service provider,37
44,unemployed,19
45,child,157
45,civil servant,31
45,craftsman,48
45,farmer,57
45,fisher,54
45,homemaker,53
45,retired,47
45,service provider,37
45,unemployed,20
46,child,157
46,civil servant,31
46,craftsman,51
46,farmer,56
46,fisher,52
46,homemaker,51
46,retired,46
46,service provider,38
46,unemployed,19
47,child,156
47,civil servant,31
47,craftsman,50
47,farmer,58
47,fisher,52
47,homemaker,53
47,retired,45
47,service provider,38
47,unemployed,19
48,child,154
48,civil servant,32
48,craftsman,49
48,farmer,60
48,fisher,52
48,homemaker,51
48,retired,46
48,service provider,38
48,unemployed,20
49,child,152
49,civil servant,32
49,craftsman,47
49,farmer,60
49,fisher,53
49,homemaker,56
49,retired,47
49,service provider,36
49,unemployed,20
50,child,152
50,civil servant,31
50,craftsman,47
50,farmer,57
50,fisher,53
50,homemaker,60
50,retired,47
50,service provider,36
50,unemployed,20
51,child,150
51,civil servant,32
51,craftsman,47
51,farmer,58
51,fisher,55
51,homemaker,59
51,retired,44
51,service provider,36
51,unemployed,21
52,child,150
52,civil servant,31
52,craftsman,51
52,farmer,58
52,fisher,58
52,homemaker,59
52,retired,39
52,service provider,37
52,unemployed,18
53,child,151
53,civil servant,30
53,craftsman,53
53,farmer,57
